Branch,SKU,Product_Name,Category,Current_Stock,Reorder_Point,Max_Stock,Unit_Price_USD
East Branch,PPE-002,Surgical Face Masks (Box/50),PPE,52,150,600,6.5
East Branch,PPE-003,N95 Respirators (Box/20),PPE,350,100,400,24.99
East Branch,PPE-004,Isolation Gowns Disposable,PPE,405,300,1200,1.75
East Branch,PPE-005,Face Shields Disposable,PPE,73,100,500,2.1
East Branch,INJ-001,Syringes 5ml with Needle,Injection & Infusion,198,150,600,12.5
East Branch,INJ-002,IV Catheters 18G,Injection & Infusion,34,100,400,18.75
East Branch,INJ-003,IV Tubing Sets,Injection & Infusion,737,200,800,1.95
East Branch,INJ-004,Infusion Sets with Filter,Injection & Infusion,195,150,600,2.25
East Branch,WND-001,Gauze Swabs Sterile 4x4 (Pack/10),Wound Care,145,200,900,3.2
East Branch,WND-002,Bandage Rolls 4 inch,Wound Care,204,150,700,1.1
East Branch,WND-003,Surgical Adhesive Tape 1 inch,Wound Care,77,100,500,0.85
East Branch,WND-004,Antiseptic Wipes (Pack/100),Wound Care,480,120,500,5.4
East Branch,GEN-001,Tongue Depressors (Pack/100),General Supplies,29,80,400,2.3
East Branch,GEN-002,Urine Collection Cups,General Supplies,262,200,800,0.45
East Branch,GEN-003,Sharps Containers 1 Gallon,General Supplies,81,60,300,3.75
East Branch,GEN-004,Hand Sanitizer 500ml,General Supplies,71,100,500,4.2
East Branch,GEN-005,Disposable Bed Sheets,General Supplies,189,150,700,1.3
East Branch,GEN-006,Pulse Oximeter Probes Disposable,General Supplies,307,80,350,2.8
East Branch,GEN-007,Oxygen Masks Adult,General Supplies,102,80,350,3.5
West Branch,PPE-001,Nitrile Examination Gloves (Box/100),PPE,727,200,800,8.99
West Branch,PPE-002,Surgical Face Masks (Box/50),PPE,190,150,600,6.5
West Branch,PPE-003,N95 Respirators (Box/20),PPE,77,100,400,24.99
West Branch,PPE-004,Isolation Gowns Disposable,PPE,1088,300,1200,1.75
West Branch,PPE-005,Face Shields Disposable,PPE,127,100,500,2.1
West Branch,INJ-001,Syringes 5ml with Needle,Injection & Infusion,52,150,600,12.5
West Branch,INJ-002,IV Catheters 18G,Injection & Infusion,125,100,400,18.75
West Branch,INJ-003,IV Tubing Sets,Injection & Infusion,154,200,800,1.95
West Branch,INJ-004,Infusion Sets with Filter,Injection & Infusion,528,150,600,2.25
West Branch,WND-001,Gauze Swabs Sterile 4x4 (Pack/10),Wound Care,272,200,900,3.2
West Branch,WND-002,Bandage Rolls 4 inch,Wound Care,53,150,700,1.1
West Branch,WND-003,Surgical Adhesive Tape 1 inch,Wound Care,126,100,500,0.85
West Branch,WND-004,Antiseptic Wipes (Pack/100),Wound Care,85,120,500,5.4
West Branch,GEN-001,Tongue Depressors (Pack/100),General Supplies,379,80,400,2.3
West Branch,GEN-002,Urine Collection Cups,General Supplies,265,200,800,0.45
West Branch,GEN-003,Sharps Containers 1 Gallon,General Supplies,79,60,300,3.75
West Branch,GEN-004,Hand Sanitizer 500ml,General Supplies,472,100,500,4.2
West Branch,GEN-005,Disposable Bed Sheets,General Supplies,107,150,700,1.3
West Branch,GEN-006,Pulse Oximeter Probes Disposable,General Supplies,102,80,350,2.8
West Branch,GEN-007,Oxygen Masks Adult,General Supplies,57,80,350,3.5
